id;Density (P/Km2);Population;Population: Labor force participation (%);Urban_population
1;60;38041754;48#90;9797273
2;105;2854191;55#70;1747593
3;18;43053054;41#20;31510100
4;164;77142;null;67873
5;26;31825295;77#50;21061025
6;223;97118;null;23800
7;17;44938712;61#30;41339571
8;104;2957731;55#60;1869848
9;3;25766605;65#50;21844756
10;109;8877067;60#70;5194416
11;123;10023318;66#50;5616165
12;39;389482;74#60;323784
13;2239;1501635;73#40;1467109
14;1265;167310838;59#00;60987417
15;668;287025;65#20;89431
16;47;9466856;64#10;7482982
17;383;11484055;53#60;11259082
18;17;390353;65#10;179039
19;108;11801151;70#90;5648149
20;20;727145;66#70;317538
21;11;11513100;71#80;8033035
22;64;3301000;46#40;1605144
23;4;2346179;70#80;1616550
24;25;212559417;63#90;183241641
25;83;433285;64#70;337711
26;64;6975761;55#40;5256027
27;76;20321378;66#40;6092349
28;463;11530580;79#20;1541177
29;83;25716544;57#00;13176900
30;138;483628;60#50;364029
31;95;16486542;82#30;3924621
32;56;25876380;76#10;14741256
33;4;36991981;65#10;30628482
34;8;4745185;72#00;1982064
35;13;15946876;70#70;3712273
36;26;18952038;62#60;16610135
37;153;1397715000;68#00;842933962
38;46;50339443;68#80;40827302
39;467;850886;43#30;248152
40;16;5380508;69#40;3625010
41;100;5047561;62#10;4041885
42;73;4067500;51#20;2328318
43;106;11333483;53#60;8739135
44;131;1198575;63#10;800708
45;139;10669709;60#60;7887156
46;40;86790567;63#50;39095679
47;137;5818553;62#20;5119978
48;43;973560;60#20;758549
49;96;71808;null;50830
50;225;10738958;64#30;8787475
51;71;17373662;68#00;11116711
52;103;100388073;46#40;42895824
53;313;6453553;59#10;4694702
54;50;1355986;62#00;984812
55;35;6333135;78#40;1149670
56;31;1331824;63#60;916024
57;67;1093238;null;9797273
58;115;112078730;79#60;23788710
59;49;889953;57#60;505048
60;18;5520314;59#10;4716888
61;119;67059887;55#10;54123364
62;9;2172579;52#90;1949694
63;239;2347706;59#40;1453958
64;57;3720382;68#30;2196476
65;240;83132799;60#80;64324835
66;137;30792608;67#80;17249054
67;81;10716322;51#80;8507474
68;331;112003;null;40765
69;167;16604026;62#30;8540945
70;53;12771246;61#50;4661505
71;70;1920922;72#00;840922
72;4;782766;56#20;208912
73;414;11263077;67#20;6328948
74;2003;836;null;9797273
75;89;9746117;68#80;5626433
76;107;9769949;56#50;6999582
77;3;361313;75#00;339110
78;464;1366417754;49#30;471031528
79;151;270203917;67#50;151509724
80;52;82913906;44#70;62509623
81;93;39309783;43#00;27783368
82;72;5007069;62#10;3133123
83;400;9053300;64#00;8374393
84;206;60297396;49#60;42651966
85;273;2948279;66#00;1650594
86;347;126226568;61#70;115782416
87;115;10101694;39#30;9213048
88;7;18513930;68#80;10652915
89;94;52573973;74#70;14461523
90;147;117606;null;64489
91;240;4207083;73#50;4207083
92;34;6456900;59#80;2362644
93;32;7169455;78#50;2555552
94;30;1912789;61#40;1304943
95;667;6855713;47#00;6084994
96;71;2125268;67#90;607508
97;53;4937374;76#30;2548426
98;4;6777452;49#70;5448597
99;238;38019;null;5464
100;43;2786844;61#60;1891013
101;242;645397;59#30;565488
102;48;26969307;86#10;10210849
103;203;18628747;76#70;3199301
104;99;32447385;64#30;24475766
105;1802;530953;69#80;213645
106;17;19658031;70#80;8479688
107;1380;502653;56#50;475902
108;329;58791;null;45514
109;5;4525696;45#90;2466821
110;626;1265711;58#30;515980
111;66;126014024;60#70;102626859
112;784;113815;null;25963
113;123;2657637;43#10;1135502
114;26337;38964;null;38964
115;2;3225167;59#70;2210626
116;47;622137;54#40;417765
117;83;36910560;45#30;22975026
118;40;30366036;78#10;11092106
119;83;54045420;61#70;16674093
120;3;2494530;59#50;1273258
121;541;10084;null;9797273
122;203;28608710;83#80;5765513
123;508;17332850;63#60;15924729
124;18;4841000;69#90;4258860
125;55;6545502;66#40;3846137
126;19;23310715;72#00;3850231
127;226;200963599;52#90;102806948
128;214;25666161;80#40;15947412
129;83;1836713;null;9797273
130;15;5347896;63#80;4418218
131;16;5266535;72#40;4250777
132;287;216565318;52#60;79927762
133;39;18233;null;14491
134;847;38041754;null;9797273
135;58;4246439;66#60;2890084
136;20;8776109;47#20;1162834
137;18;7044636;72#10;4359150
138;26;32510453;77#60;25390339
139;368;108116615;59#60;50975903
140;124;37970874;56#70;22796574
141;111;10269417;58#80;6753579
142;248;2832067;86#80;2809071
143;84;19356544;54#70;10468793
144;9;144373535;61#80;107683889
145;525;12626950;83#70;2186104
146;205;52823;null;16269
147;301;182790;67#10;34280
148;284;100455;65#90;58185
149;70;202506;43#70;35588
150;566;33860;null;32969
151;228;215056;57#80;158277
152;16;34268528;55#90;28807838
153;87;16296364;45#70;7765706
154;100;6944975;54#90;3907243
155;214;97625;null;55762
156;111;7813215;57#90;3319366
157;8358;5703569;70#50;5703569
158;114;5454073;59#50;2930419
159;103;2087946;58#40;1144654
160;25;669823;83#80;162164
161;25;15442905;47#40;7034861
162;49;58558270;56#00;39149717
163;527;51709098;63#00;42106719
164;18;11062113;72#40;2201250
165;94;47076781;57#50;37927409
166;341;21803000;53#90;4052088
167;25;42813238;48#40;14957233
168;4;581372;51#10;384258
169;25;10285453;64#60;9021165
170;219;8574832;68#30;6332428
171;95;17070135;44#10;9358019
172;68;9321018;42#00;2545477
173;67;58005463;83#40;20011885
174;137;69625582;67#30;35294600
175;89;3500000;67#30;400182
176;152;8082366;77#60;3414638
177;147;100209;59#80;24145
178;273;1394973;60#00;741944
179;76;11694719;46#10;8099061
180;110;83429615;52#80;63097818
181;13;5942089;64#50;3092738
182;393;11646;null;7362
183;229;44269594;70#30;10784516
184;75;44385155;54#20;30835699
185;118;9770529;82#10;8479744
186;281;66834405;62#80;55908316
187;36;328239523;62#00;270663028
188;20;3461734;64#00;3303394
189;79;33580650;65#10;16935729
190;25;299882;69#90;76152
191;32;28515829;59#70;25162368
192;314;96462106;77#40;35332140
193;56;29161922;38#00;10869523
194;25;17861030;74#60;7871713
195;38;14645468;83#10;4717305
